Province/Municipality/Regions,ISO,Three Economic Regions,General Classification,Focus Regions,Eight Economic Regions,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Beijing,CN-BJ,Eastern Regions,Huabei,Circum-Bohai Sea Zone,Northern Coastal Areas,82.4,84.1,85.4,86.9,87.2,99.4,111.4,116.8,122.8,134.5,148.4,159.8,159.2,140.4,129.8,121.9,120.6,114.4,108.3,111.3
Tianjin,CN-TJ,Eastern Regions,Huabei,Circum-Bohai Sea Zone,Northern Coastal Areas,84.2,89.9,105.3,112.4,103.4,107.5,116.6,119.5,131.7,141.1,147.9,154.8,158.8,162.3,168.5,169,175.3,185.4,210.3,225.4
Hebei,CN-HE,Eastern Regions,Huabei,Circum-Bohai Sea Zone,Northern Coastal Areas,957,1064.2,1333.6,1345.2,1401.8,1737.1,1956.8,2121.8,2473.1,2702.8,2914,3141.9,3164.7,3100.5,3082.5,3130,3338.6,3518.4,3880.4,4030.3
Shanxi,CN-SX,Central Regions,Huabei,Middle Reaches of the Yellow River,Middle Reaches of the Yellow River,197.8,215.2,262.9,247.8,256.4,303.5,373.6,443.5,510.4,586.6,642,697.6,736.6,726.2,724.3,719.2,740.8,825.3,1166.6,1286.9
Inner Mongolia,CN-NM,Western Regions,Huabei,Middle Reaches of the Yellow River,Middle Reaches of the Yellow River,374.7,420.1,522.8,589.6,634.9,762.6,902.9,934.9,1097.8,1309.7,1453.2,1582.9,1638,1630.2,1650.6,1649.8,1750.7,1863.3,2028.8,2225.2
Liaoning ,CN-LN,Eastern Regions,Dongbei,Circum-Bohai Sea Zone,Northeast ,574.1,598.1,774.4,854.4,908.6,1077.3,1215.7,1297.3,1468.9,1693.4,1869.3,1973.4,2002,2053.7,1841.2,1902.3,2020.6,2178,2284.8,2461.8
Jilin,CN-JL,Central Regions,Dongbei,,Northeast ,441.6,486.7,562.3,618.7,640.2,755.2,863.6,888.6,928.4,1105.9,1195.6,1250.2,1270.2,1270.6,1130.1,1095.4,1160.7,1287.3,1553,1553.8
Heilongjiang,CN-HL,Central Regions,Dongbei,,Northeast ,464.2,493,580.9,674.6,731.8,892.4,1073.8,1141.9,1291.8,1695.5,2119.6,2539.6,2691,2712.2,2751.2,2965.3,3001.2,3183.2,3445.1,3463
Shanghai,CN-SX,Eastern Regions,Huadong,Yangtze River Delta,Eastern Coastal Areas,77.7,79,81.4,88.1,91.6,99.4,109.4,112.4,114.5,126.4,129.3,131.6,132,125.5,114.3,110.8,104.8,107.1,107.7,100
Jiangsu,CN-JS,Eastern Regions,Huadong,Yangtze River Delta,Eastern Coastal Areas,1110.4,1162.5,1300.4,1390.2,1468.3,1715.6,1988.2,2143.6,2409.2,2908.8,3241.4,3447.5,3607.4,3952.5,4039.8,4045.2,4141.7,4297.2,4537.6,4722.4
Zhejiang,CN-ZJ,Eastern Regions,Huadong,Yangtze River Delta,Eastern Coastal Areas,685.2,717.9,803.8,881.5,913.2,969.3,1073.3,1134.7,1322.9,1535.2,1610.8,1718.7,1726.6,1771.4,1890.4,1933.9,1975.9,2086.7,2166.3,2209.1
Anhui ,CN-AH,Central Regions,Huadong,,Middle Reaches of the Yangzse River,783.7,749.4,950.5,966.5,1011,1116.3,1313.1,1382.7,1600.6,1868,2018.6,2173.2,2295,2376.1,2489.8,2582.3,2638,2916,3185,3360.6
Fujian,CN-FJ,Eastern Regions,Huadong,The Pan-Pearl River Delta Region（PPRD）,Southern Coastal Areas,659.5,682.1,762.9,792.5,828.8,951.2,1096.1,1108.8,1269.9,1492.2,1628.9,1745.2,1855.9,1932.8,2145.1,2215.1,2379,2595.5,2730.8,2897.7
Jiangxi,CN-JX,Central Regions,Huadong,The Pan-Pearl River Delta Region（PPRD）,Middle Reaches of the Yangzse River,536,551.5,664.5,717.7,775.1,868.6,1014.5,1062.1,1147.6,1320.5,1439.1,1540.7,1626.9,1714.5,1794.1,1835.3,1877.3,2057.7,2243.8,2334.3
