Province/Municipality/Regions,ISO,Three Economic Regions,General Classification,Focus Regions,Eight Economic Regions,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Beijing,CN-BJ,Eastern Regions,Huabei,Circum-Bohai Sea Zone,"Northern Coastal Areas
",1235.1,1456.4,1773.7,1907.4,2072.1,2413.4,2526.7,2736.4,3233.1,3563.3,3856,4168.3,4433,4419.8,4665.8,5049.4,5477.4,5667.4,5739.1,7268.6
Tianjin,CN-TJ,Eastern Regions,Huabei,Circum-Bohai Sea Zone,"Northern Coastal Areas
",931.5,1137.6,1348.3,1630.5,1834.5,2123.6,2659.7,2808.7,3259.7,3756.3,4134,4407.1,4615.5,4489.6,4368,4564.1,4835.3,4947.2,4911.8,5854.3
Hebei,CN-HE,Eastern Regions,Huabei,Circum-Bohai Sea Zone,"Northern Coastal Areas
",2467.7,2922.7,3467.9,4123.9,4771.9,5849.5,6981.5,7164.4,8470.5,10275.5,10919.7,11178.4,11476.9,11519.5,12332.3,12778,12904.1,13393.7,13765.1,16364.2
Shanxi,CN-SX,Central Regions,Huabei,Middle Reaches of the Yellow River,Middle Reaches of the Yellow River,1134.3,1520.7,1931.6,2389.5,2799.3,3602.3,4389,4091.2,5349.6,6750.2,6852.7,6684.3,6378,5219.7,5113.6,6635.3,7074.5,7466.3,7703.2,11213.1
Inner Mongolia,CN-NM,Western Regions,Huabei,Middle Reaches of the Yellow River,Middle Reaches of the Yellow River,754.8,840.9,1041.2,1377.8,1722.4,2122.7,2555.1,2916,3420.5,4044,4553.6,4870.1,5114.4,5269.5,5579.8,5874.3,6335.4,6763.1,6908.2,9374.2
Liaoning ,CN-LN,Eastern Regions,Dongbei,Circum-Bohai Sea Zone,Northeast ,2599.7,2841,2957.8,3443.9,4060.7,5060.2,6273.1,6539.3,7181.8,8478.7,8886.9,9204.2,9038.8,8344.6,7865.7,8328.9,9049,9475.9,9357.5,10875.2
Jilin,CN-JL,Central Regions,Dongbei,,Northeast ,793.5,805.7,903.4,1002.4,1097.2,1477.7,1788,2055.1,2485.8,2931.4,3315.2,3572.1,3804.9,3837.8,3901.4,3995.5,4051.5,4134.8,4319.9,4768.3
Heilongjiang,CN-HL,Central Regions,Dongbei,,Northeast ,1728.3,1956.4,2270.3,2656.4,2998,3383,3935,3668.1,4146.1,4916.3,5099.8,5202.7,4872.4,3926.9,3689.7,3519.5,3536,3640.1,3449.9,3975.3
Shanghai,CN-SX,Eastern Regions,Huadong,Yangtze River Delta,"Eastern Coastal Areas
",2635.3,3239.6,3872.2,4314.9,4929.2,5677.5,6215.5,6184.8,7434.9,8169.3,8174.1,8286.5,8633.3,8408.7,8570.2,9525.9,10360.8,10193.6,10258.6,11449.3
Jiangsu,CN-JS,Eastern Regions,Huadong,Yangtze River Delta,"Eastern Coastal Areas
",5604.5,6787.1,8325.8,10234.1,11991.1,14497.4,17051.1,18667.2,21853.6,25231.2,27150.8,29149.4,31048.8,33371.8,35041.5,39124.1,42129.4,43507.5,44631.3,51775.4
Zhejiang,CN-ZJ,Eastern Regions,Huadong,Yangtze River Delta,"Eastern Coastal Areas
",4112.9,5126.3,6160.4,6953.7,8295.7,10122.7,11512.7,11882.4,14140.9,16271,17040.5,18162.8,19580.7,20606.6,21571.3,23246.7,25308.1,26299.5,26361.5,31188.6
Anhui ,CN-AH,Central Regions,Huadong,,Middle Reaches of the Yangzse River,1347.3,1557.6,1846.2,2197.4,2653.2,3371.8,4194.5,4918.7,6396,8189.1,9247.9,10233.4,10982.6,10838.3,11517.5,12681.2,14094.4,14970,15216.5,17613.2
Fujian,CN-FJ,Eastern Regions,Huadong,The Pan-Pearl River Delta Region（PPRD）,"Southern Coastal Areas
",2029.2,2329.7,2738.7,3095.9,3629.7,4521.8,5387,6129.1,7705.3,9316.6,10527,11805.5,13165.1,13735.7,14683.7,16290,18847.8,20065.5,20168.4,22866.3
Jiangxi,CN-JX,Central Regions,Huadong,The Pan-Pearl River Delta Region（PPRD）,Middle Reaches of the Yangzse River,941.8,1204.3,1505.2,1834.7,2337.6,2950.3,3518.8,3882.7,5083.1,6338,6893.3,7661.9,8238.7,8367.7,8732.5,9444.6,10081.2,10820.3,11107.9,13183.2
