Province/Municipality/Regions,ISO,Three Economic Regions,General Classification,Focus Regions,Eight Economic Regions,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Beijing,CN-BJ,Eastern Regions,Huabei,Circum-Bohai Sea Zone,"Northern Coastal Areas
",3208.2,3726.7,4393.4,5155.5,6227.7,7912.8,9175.1,10047.7,11608.1,13491,15020.3,16806.5,18333.9,20218.9,22245.7,24711.7,27508.1,29663.4,30095.9,32889.6
Tianjin,CN-TJ,Eastern Regions,Huabei,Circum-Bohai Sea Zone,"Northern Coastal Areas
",911.2,1030.3,1167.5,1415.7,1600.3,1927.3,2406.1,2781.3,3439.3,4215.2,4761.1,5383.6,5866.3,6227.6,6940.8,7717.5,8352.3,8922.9,8885.9,9615.4
Hebei,CN-HE,Eastern Regions,Huabei,Circum-Bohai Sea Zone,"Northern Coastal Areas
",2094.2,2346.8,2787.1,3304.2,3869.3,4566.4,5261.8,6020.7,7060,8406.4,9243.8,9939.3,10567.3,11778.4,13059.3,14732.8,16252,18066.4,18368.4,19996.7
Shanxi,CN-SX,Central Regions,Huabei,Middle Reaches of the Yellow River,Middle Reaches of the Yellow River,992.7,1118.3,1301.5,1442.1,1657.9,2029.8,2460.5,2613,3043.9,3557.7,4188.4,4605.3,4980.1,5890.5,6108.5,7129.8,8142.9,8670,8965.8,10090.2
Inner Mongolia,CN-NM,Western Regions,Huabei,Middle Reaches of the Yellow River,Middle Reaches of the Yellow River,811.5,1127.4,1378.4,1556.3,1804.5,2281.7,2784.4,3253.4,3681.6,4104.4,4463.3,4939.4,5405.8,6049.2,6558.9,7374,8054.7,8586.1,8321.1,8914.8
Liaoning ,CN-LN,Eastern Regions,Dongbei,Circum-Bohai Sea Zone,Northeast ,2284.4,2467.3,2737.6,2962.5,3421.1,4154.7,4648.9,4979.1,5245.5,6182.9,7092.4,8031.2,8984.9,9811.9,10685.6,11461.8,12441,13201.4,13369.1,14247.1
Jilin,CN-JL,Central Regions,Dongbei,,Northeast ,808,848.6,989.5,1155.5,1489.1,1847.5,2183.2,2491.1,2996.3,3697.4,4167.2,4605.5,4891.5,4909.6,5395.5,5831.2,6041.6,6304.7,6383.1,6913.4
Heilongjiang,CN-HL,Central Regions,Dongbei,,Northeast ,1050.2,1160.3,1283.5,1425.4,1599.9,1850.9,2125.4,2409,2870.4,3323.2,3796.5,4106.9,4607.4,5050.9,5454,5828.2,6309.3,6721.1,6738.5,7440.9
Shanghai,CN-SX,Eastern Regions,Huadong,Yangtze River Delta,"Eastern Coastal Areas
",3082.1,3485.4,4148,4794.2,5578.2,7101.8,8212.1,9445.3,10366.1,11713.9,13002.1,14786,16504.5,18352.8,21202.4,23288.3,25546.3,27686.9,28597.1,31665.6
Jiangsu,CN-JS,Eastern Regions,Huadong,Yangtze River Delta,"Eastern Coastal Areas
",3891.9,4493.3,5197,6497.1,7781.4,9775.4,11906.2,13660.9,17121,20699.2,23309.8,26752.5,30174.3,33931.7,38269.6,42700.5,46936.5,50852.1,53638.9,59866.4
Zhejiang,CN-ZJ,Eastern Regions,Huadong,Yangtze River Delta,"Eastern Coastal Areas
",3242.6,3909.3,4517.9,5193.2,6093.9,7547.9,8698.6,9816.7,11936.1,14048.6,15731.1,17453.1,18716.2,21129.8,23792.4,27222.5,30718.8,34075.8,36161.3,40118.1
Anhui ,CN-AH,Central Regions,Huadong,,Middle Reaches of the Yangzse River,1696.7,2000.8,2332.4,2512,2836.1,3453.5,4010.1,4563.4,5253.2,6227.8,7075.2,8177.4,9242.1,10616.8,12300.5,14412.7,17278.5,18959.5,19660.1,21985.4
Fujian,CN-FJ,Eastern Regions,Huadong,The Pan-Pearl River Delta Region（PPRD）,"Southern Coastal Areas
",1778.9,1987.9,2210.5,2527,3010.1,3852.6,4448.7,5180.2,6027.4,7109,8034.8,8953.2,9921.2,11150.9,12780.6,15337.3,17461,19665.6,20709.3,23046.3
Jiangxi,CN-JX,Central Regions,Huadong,The Pan-Pearl River Delta Region（PPRD）,Middle Reaches of the Yangzse River,972.7,1056.9,1228.4,1388.9,1584.1,1958.7,2400.9,2685.2,3152.5,3926,4475.2,5097.7,5802.3,6698.8,7862,8930.9,10758,11789.3,12430.2,14102.2
Shandong,CN-SD,Eastern Regions,Huadong,Circum-Bohai Sea Zone,"Northern Coastal Areas
",3669.7,3726.2,4232.3,5178.2,6301.1,7737.6,9318.5,10544.9,12778.1,15370.3,17634.4,20274.3,22524,25571.1,28367.2,31253.8,34174.7,37251.7,38977.2,43879.7
Henan ,CN-HA,Central Regions,Zhongnan,,Middle Reaches of the Yellow River,1946.8,2395.1,2682.9,3197.2,3791.9,4763.8,5446.7,6190.8,7354.4,8947.8,10342.2,11809.9,13446.9,15120.7,17198.8,19745.3,23586.2,26046.5,26684.5,28934.9
Hubei,CN-HB,Central Regions,Zhongnan,,Middle Reaches of the Yangzse River,1801.4,2009.3,2264.4,2641,3135.5,3991.1,4715.2,5439.3,6435.5,7707.1,8763.5,10648,12232.6,13664.6,15419.5,17992.2,20899.9,22896.5,22937.6,26398.4
Hunan ,CN-HN,Central Regions,Zhongnan,The Pan-Pearl River Delta Region（PPRD）,Middle Reaches of the Yangzse River,1780.8,2018,2384.6,2801.4,3156.2,3854.2,4675.6,5482.3,6466.4,7611.4,8712.7,10042.3,11385.2,13125,14995.9,17369.9,19341.4,20845.2,21352.7,23614.1
Guangdong,CN-GD,Eastern Regions,Zhongnan,The Pan-Pearl River Delta Region（PPRD）,"Southern Coastal Areas
",6377.8,7222.4,8246.8,9518.6,11308.5,14056.6,16264,18079,20827.6,24358.5,26950.3,30284,33204,37628.9,43163.5,49500.7,54710.4,60268.1,62550.8,69146.8
Guangxi Zhuang,CN-GX,Western Regions,Zhongnan,The Pan-Pearl River Delta Region（PPRD）,Southeast Zone,1077,1183.4,1343.8,1513.1,1788.8,2185.9,2567.2,2972.1,3447.6,4052.3,4674.1,5448.4,6028.8,6841.4,7695.3,8774.1,9913.9,10801,11428.1,12537.5
Hainan,CN-HI,Eastern Regions,Zhongnan,The Pan-Pearl River Delta Region（PPRD）,"Southern Coastal Areas
",271,293.9,331.1,365.2,425.1,528.4,638.5,739.8,970.1,1155.9,1358.3,1641.4,1829.3,2016,2261.5,2538.4,2871.6,3168.1,3358,3982
Chongqing,CN-CQ,Western Regions,Xinan,,Southeast Zone,985.9,1118.6,1246.6,1434.1,1647.2,2064,2692.7,3053.4,3791.7,4795.8,5407.6,6097.7,6858.5,7764.8,9020.7,10335.2,11367.9,12662.2,13268.3,14787.1
Sichuan,CN-SC,Western Regions,Xinan,The Pan-Pearl River Delta Region（PPRD）,Southeast Zone,1943.7,2197.1,2535.2,2831.5,3222.6,3987.8,4850.8,5377,6556.7,8181.9,9548.8,10841.7,12283.9,13488.6,15787.8,19073.5,22417.7,24368.3,25439.2,28287.6
Guizhou,CN-GZ,Western Regions,Xinan,The Pan-Pearl River Delta Region（PPRD）,Southeast Zone,480.7,567.4,647.3,779.6,944,1229.7,1544.2,1750.6,2095.5,2657.1,3162.8,3802.7,4309.3,4872.3,5461.8,6602.3,7691,8517.3,9057.5,9870.8
Yunnan,CN-YN,Western Regions,Xinan,The Pan-Pearl River Delta Region（PPRD）,Southeast Zone,953.2,1079,1260.8,1464.1,1712,2170.4,2538.6,2919.3,3377.3,4315.1,4998.6,5946.5,6657.7,7389,8396.1,9829.8,11114.5,12125.7,12556.5,13687.2
Tibet,CN-XZ,Western Regions,Xinan,,Northwest Zone,90.6,98.9,124.5,137.7,162.2,196.6,229.8,255.1,293.1,346.1,408.8,476.2,541.3,607.6,672.1,761.2,837.3,924,1037.5,1158.8
Shaanxi,CN-SN,Western Regions,Xibei,,Middle Reaches of the Yellow River,963.6,1063.8,1278.8,1590.8,1858.4,2255.2,2794.2,3228.7,3827,4503.4,5215.3,6023.9,6790.6,7634.5,8443.2,9618.3,10896.4,12022.6,12524.4,13589.1
Gansu,CN-GS,Western Regions,Xibei,,Northwest Zone,514.8,589.7,690,788.1,900.6,1055.1,1250.5,1376.6,1560.8,2002.7,2308.9,2682.4,2999.4,3317.8,3623.7,3961.2,4416.4,4796.6,4966.7,5412
Qinghai,CN-QH,Western Regions,Xibei,,Northwest Zone,182.3,206.8,231.2,246.3,291.2,363.2,443,468.7,567.4,664.6,734.1,827.6,917,1041,1169.3,1251,1386.2,1485.3,1528.6,1661.4
Ningxia Hui,CN-NX,Western Regions,Xibei,,Northwest Zone,171.1,195.2,222,250.3,284.6,362.7,468.2,553.2,686.9,837,949.5,1057.5,1143.4,1225.8,1360.7,1543.7,1742.7,1881.4,1989,2136.3
Xinjiang Uyghur,CN-XJ,Western Regions,Xibei,,Northwest Zone,733,795.8,844.1,907.8,1045.1,1318.3,1503.8,1686.1,1880.1,2391.4,2881.9,3586.2,4028.5,4451.2,4711.6,5511.9,6460.1,7030.9,7032.8,7660.2
,CN-TW,,,,,17175.04876,17618.90084,19089.80791,20502.48825,20520.70667,20127.70838,19300.96401,17732.29775,19568.45698,20582.94582,20367.48787,20401.79204,20791.18222,20868.63653,22176.22047,24598.98794,25103.97751,26542.20102,28310.48239,30287.70398
,CN-HK,,,,,,11706.03893,12354.48431,13240.84574,13880.64273,14531.41582,13380.71714,12925.19724,14067.4079,14694.5551,15230.16846,15442.57153,16245.31383,17468.30743,19086.36654,20446.55329,21238.09868,22577.63076,21325.56783,
注：1.本表按当年价格计算。,,,,,,,,,,,,,,,,,,,,,,,,,
　　　2.行业分类采用《国民经济行业分类（GB/T 4754－2017）》。第一产业是指农、林、牧、渔业（不含农、林、牧、渔专业及辅助性活动）；第二产业是指采矿业（不含开采专业及辅助性活动），制造业（不含金属制品、机械和设备修理业），电力、热力、燃气及水生产和供应业，建筑业；第三产业即服务业，是指除第一产业、第二产业以外的其他行业。,,,,,,,,,,,,,,,,,,,,,,,,,
　　　3.按照我国国民经济核算数据修订制度和国际通行作法，在第四次全国经济普查后，对2018年及以前年度的地区生产总值历史数据进行了系统修订。,,,,,,,,,,,,,,,,,,,,,,,,,
　　　4.2019年为最终核实数。,,,,,,,,,,,,,,,,,,,,,,,,,
　　　5.若表中数据分项合计与总计不等，是由于数据修约误差所致，未做机械调整。,,,,,,,,,,,,,,,,,,,,,,,,,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,
